No,Yapı,Koordinat,Ada/Parsel,Adres,İşlev,Kat Sayısı,Tescil Bilgisi,Yapım Yılı,Mimarı,Değişmişlik Durumu,Foto,Açıklama,bolge,lat,lon,radius
4_16_46,,"39.92692268138138, 32.876314745859375",2978-09-01 00:00:00,"Fakülteler, Yeni Acun Sk. No:33, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,4,39.92692268138138,32.876314745859375,6.066666666666666
4_16_47,,"39.92706460654583, 32.876532004780834",2978-08-01 00:00:00,"Fakülteler, Atom Sk. No:16, 06590 Çankaya/Ankara",Konut,3.0,Değil,,,,,,4,39.92706460654583,32.876532004780834,4.8
4_16_48,,"39.92714071122296, 32.87667952627072",2978-07-01 00:00:00,"Fakülteler, Atom Sk. No:14, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,4,39.92714071122296,32.87667952627072,6.066666666666666
4_16_49,,"39.92722766482255, 32.87688893447032",2978-06-01 00:00:00,"Fakülteler, Atom Sk. No:12, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,Dönem yapısı?,4,39.92722766482255,32.87688893447032,6.066666666666666
4_16_50,,"39.927324607248764, 32.87704812350768",2978-05-01 00:00:00,"Fakülteler, Atom Sk. No:10, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,4,39.927324607248764,32.87704812350768,6.066666666666666
4_16_51,,"39.92745745404886, 32.87721511590633",2978-04-01 00:00:00,"Fakülteler, Atom Sk. No:8, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,Kentsel dönüşüm sonrası yeni yapı?,4,39.92745745404886,32.87721511590633,7.333333333333333
4_16_52,,"39.92750599065736, 32.877414355245186",2978-03-01 00:00:00,"Fakülteler, Atom Sk. No:6, 06590 Çankaya/Ankara",Konut,3.0,Değil,,,,,Buse yıkılmış olarak işaretlemiş. Kontrol edilecek.,4,39.92750599065736,32.877414355245186,4.8
4_16_53,,"39.927549184935735, 32.877647707420074",2978-02-01 00:00:00,"Fakülteler, Atom Sk. No:4, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,4,39.927549184935735,32.877647707420074,6.066666666666666
4_16_54,,"39.92767488111018, 32.87783679003752",2978-01-01 00:00:00,"Fakülteler, Atom Sk. No:2, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,Kentsel dönüşüm sonrası yeni yapı?,4,39.92767488111018,32.87783679003752,7.333333333333333
4_17_1,,"39.9273343537257, 32.8778171323663",2976/19,"Ertuğrulgazi, Atom Sk. No:1, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,4,39.9273343537257,32.8778171323663,7.333333333333333
4_17_2,,"39.92719369499645, 32.877526242184395",2976-09-01 00:00:00,"Ertuğrulgazi, Atom Sk. No:5, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,4,39.92719369499645,32.877526242184395,7.333333333333333
4_17_3,,"39.92709095463982, 32.87770537751566",2976-08-01 00:00:00,"Ertuğrulgazi, Şen Sk. No:3, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,4,39.92709095463982,32.87770537751566,6.066666666666666
4_17_4,,"39.926942065818835, 32.8778643747111",2976-07-01 00:00:00,"Ertuğrulgazi, Şen Sk. No:5, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,4,39.926942065818835,32.8778643747111,6.066666666666666
4_17_5,,"39.926800140400346, 32.877982391903",2976-06-01 00:00:00,"Ertuğrulgazi, Şen Sk. No:7, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,4,39.926800140400346,32.877982391903,6.066666666666666
4_17_6,,"39.926689068128475, 32.878060175961295",2976-05-01 00:00:00,"Ertuğrulgazi, Şen Sk. No:9, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,4,39.926689068128475,32.878060175961295,6.066666666666666
4_17_7,,"39.92653972631492, 32.878090868563724",2976-04-01 00:00:00,"Gazi Mah, Erdem Cd. No:15, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,4,39.92653972631492,32.878090868563724,6.066666666666666
4_17_8,,"39.92649230578701, 32.87834806121797",2976/18,"Ertuğrulgazi, Erdem Cd. No:17, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,4,39.92649230578701,32.87834806121797,6.066666666666666
4_17_9,,"39.92648819198387, 32.87835074342688",2976/17,"Ertuğrulgazi, Erdem Cd. No:19, 06590 Çankaya/Ankara",Konut,3.0,Değil,,,,,Dönem yapısı?,4,39.92648819198387,32.87835074342688,4.8
4_17_10,,"39.92640089205732, 32.87853733481486",2976-02-01 00:00:00,"Ertuğrulgazi, Erdem Cd. No:21, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,4,39.92640089205732,32.87853733481486,6.066666666666666
4_17_11,,"39.926248680973586, 32.87869558514036",2976-01-01 00:00:00,"Ertuğrulgazi, Seyhan Sk. 36, 06000 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,4,39.926248680973586,32.87869558514036,7.333333333333333
4_17_12,,"39.92655104590295, 32.87858293236628",2976/16,"Ertuğrulgazi, Seyhan Sk. No:32, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,4,39.92655104590295,32.87858293236628,6.066666666666666
4_17_13,,"39.92677730450036, 32.878636576544416",2976/15,"Ertuğrulgazi, Seyhan Sk. No:30, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,4,39.92677730450036,32.878636576544416,6.066666666666666
4_17_14,,"39.926970652172876, 32.878357626822414",2976/14,"Ertuğrulgazi, Seyhan Sk. No:28, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,4,39.926970652172876,32.878357626822414,6.066666666666666
4_17_15,,"39.927178397466534, 32.878344215775826",2976/13,"Ertuğrulgazi, Seyhan Sk. No:26, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,4,39.927178397466534,32.878344215775826,6.066666666666666
4_17_16,,"39.92728741206694, 32.878188647659236",2976-12-01 00:00:00,"Ertuğrulgazi, Seyhan Sk. No:24, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,4,39.92728741206694,32.878188647659236,6.066666666666666
4_17_17,,"39.92701428809468, 32.877237214255324",2977-10-01 00:00:00,"Ertuğrulgazi, Şen Sk. No:2, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,4,39.92701428809468,32.877237214255324,6.066666666666666
4_17_18,,"39.926901291312674, 32.87731801422852",2977-11-01 00:00:00,"Ertuğrulgazi, Şen Sk. No:4, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,4,39.926901291312674,32.87731801422852,6.066666666666666
4_17_19,,"39.92670896766712, 32.87759017900906",2977-12-01 00:00:00,"Ertuğrulgazi, Şen Sk. No:6, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,4,39.92670896766712,32.87759017900906,6.066666666666666
4_17_20,,"39.92658360910213, 32.877634763650484",2977-01-01 00:00:00,"Ertuğrulgazi, Erdem Cd. No:13, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,4,39.92658360910213,32.877634763650484,6.066666666666666
4_17_21,,"39.926661771210426, 32.87727266544806",2977-02-01 00:00:00,"Ertuğrulgazi, Erdem Cd. No:11, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,4,39.926661771210426,32.87727266544806,6.066666666666666
4_17_22,,"39.926692624649675, 32.87699908013957",2977-03-01 00:00:00,"Ertuğrulgazi, Erdem Cd. No:9, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,4,39.926692624649675,32.87699908013957,6.066666666666666
4_17_23,,"39.92658360910213, 32.876991033512844",2977-04-01 00:00:00,"Ertuğrulgazi, Erdem Cd. No:7, 06590 Çankaya/Ankara",Konut + Ticaret,3.0,Değil,,,,,,4,39.92658360910213,32.876991033512844,4.8
4_17_24,,"39.92653835731446, 32.8766959905331",2977-05-01 00:00:00,"Ertuğrulgazi, Yeni Acun Sk. No:37, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,4,39.92653835731446,32.8766959905331,7.333333333333333
4_17_25,,"39.926678526841684, 32.87651195147734",2977-06-01 00:00:00,"Fakülteler, Atom Sk. No:17, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,4,39.926678526841684,32.87651195147734,7.333333333333333
4_17_26,,"39.92672409697736, 32.87663361274185",2977/13,"Ertuğrulgazi, Atom Sk. No:15, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,4,39.92672409697736,32.87663361274185,6.066666666666666
4_17_27,,"39.92677623832795, 32.87672333051686",2977/14,"Ertuğrulgazi, Atom Sk. No:13, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,4,39.92677623832795,32.87672333051686,6.066666666666666
4_17_28,,"39.92690582246262, 32.87702910233222",2977-08-01 00:00:00,"Ertuğrulgazi, Atom Sk. No:11, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,4,39.92690582246262,32.87702910233222,6.066666666666666
4_17_29,,"39.926963153814896, 32.87713160353066",2977-09-01 00:00:00,"Ertuğrulgazi, Atom Sk. No:9, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,4,39.926963153814896,32.87713160353066,6.066666666666666
4_10_1,,"39.92556090959379, 32.87162384772486",8127-12-01 00:00:00,"Çamlıtepe, Dede Efendi Cd. No: 70, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,4,39.92556090959379,32.87162384772486,7.333333333333333
4_10_2,,"39.925613681853335, 32.87169856796453",8127-08-01 00:00:00,"Çamlıtepe, Dede Efendi Cd. No:74, 06590 Çankaya/Ankara",Konut,6.0,Değil,,,,,Kentsel dönüşüm sonrası yeni yapı? Cephe yenileme?,4,39.925613681853335,32.87169856796453,8.6
4_10_3,,"39.925694899248334, 32.87182300614984",8127-09-01 00:00:00,"Çamlıtepe, Dede Efendi Cd. No:76, 06590 Çankaya/Ankara",Konut,3.0,Değil,,,,,Dönem yapısı?,4,39.925694899248334,32.87182300614984,4.8
4_10_4,,"39.92572930596543, 32.87186600273712",8127-10-01 00:00:00,"Çamlıtepe, Dede Efendi Cd. No:78, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,4,39.92572930596543,32.87186600273712,7.333333333333333
4_10_5,,"39.92579234025038, 32.87209774587549",8127-11-01 00:00:00,"Çamlıtepe, Şht. Coşkun Sk. No:2, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,4,39.92579234025038,32.87209774587549,7.333333333333333
4_10_6,,"39.92564285262641, 32.87216651272579",8127/14,"Çamlıtepe, Şht. Coşkun Sk. No:4, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,4,39.92564285262641,32.87216651272579,6.066666666666666
4_10_7,,"39.92553313733287, 32.87209448329099",8127-02-01 00:00:00,"Çamlıtepe, Kısa Sk. No:4, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,4,39.92553313733287,32.87209448329099,6.066666666666666
4_10_8,,"39.925421568053906, 32.871744559352486",8127/15,"Çamlıtepe, Kısa Sk. No:6, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,4,39.925421568053906,32.871744559352486,6.066666666666666
4_10_9,,"39.925190367316, 32.871579039494144",8126/17,"Çamlıtepe, Kısa Sk. No:9, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,4,39.925190367316,32.871579039494144,6.066666666666666
4_10_10,,"39.925300478024624, 32.87194735917714",8126/16,"Çamlıtepe, Kısa Sk. No:7, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,4,39.925300478024624,32.87194735917714,6.066666666666666
4_10_11,,"39.925356730166115, 32.87214868646149",8126/15,"Çamlıtepe, Kısa Sk. No:5, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,4,39.925356730166115,32.87214868646149,6.066666666666666
4_10_12,,"39.92533159623627, 32.87224388773549",8126/13,"Çamlıtepe, Kısa Sk. No:3, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,4,39.92533159623627,32.87224388773549,6.066666666666666
4_10_13,,"39.92537707667368, 32.87236249915883",8126-01-01 00:00:00,"Çamlıtepe, Şht. Coşkun Sk. No:6, 06590 Çankaya/Ankara",Konut + Ticaret,4.0,Değil,,,,,,4,39.92537707667368,32.87236249915883,6.066666666666666
4_10_14,,"39.92516523332473, 32.872331285626366",8126-02-01 00:00:00,"Çamlıtepe, Tevekküller Sk. No:33, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,4,39.92516523332473,32.872331285626366,6.066666666666666
4_10_15,,"39.92514847732565, 32.872189264053695",8126-03-01 00:00:00,"Çamlıtepe, Tevekküller Sk. No:31, 06590 Çankaya/Ankara",Konut + Ticaret,4.0,Değil,,,,,,4,39.92514847732565,32.872189264053695,6.066666666666666
4_10_16,,"39.92506456816119, 32.872153792502175",8126-04-01 00:00:00,"Çamlıtepe, Tevekküller Sk. No:29, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,4,39.92506456816119,32.872153792502175,6.066666666666666
4_10_17,,"39.925012782070006, 32.8719823949347",8126-05-01 00:00:00,"Çamlıtepe, Tevekküller Sk. No:27, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,4,39.925012782070006,32.8719823949347,6.066666666666666
4_10_18,,"39.924994482076606, 32.871811745859425",8126-06-01 00:00:00,"Çamlıtepe, Tevekküller Sk. No:25, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,4,39.924994482076606,32.871811745859425,6.066666666666666
4_10_19,,"39.92604639401116, 32.87245495133678",8125-07-01 00:00:00,"Çamlıtepe, Dede Efendi Cd. No:82, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,4,39.92604639401116,32.87245495133678,6.066666666666666
4_10_20,,"39.92622129374568, 32.87268302019109",8125-08-01 00:00:00,"Çamlıtepe, Dede Efendi Cd. No:84, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,4,39.92622129374568,32.87268302019109,7.333333333333333
4_10_21,,"39.92624067584462, 32.87267518417568",8125-09-01 00:00:00,"Çamlıtepe, Dede Efendi Cd. No:86, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,4,39.92624067584462,32.87267518417568,6.066666666666666
4_10_22,,"39.92632068324405, 32.87278517352754",8125-10-01 00:00:00,"Çamlıtepe, Erdem Cd. No:32, 06590 Çankaya/Ankara",Konut + Ticaret,6.0,Değil,,,,,,4,39.92632068324405,32.87278517352754,8.6
4_10_23,,"39.92614083145602, 32.87296497729468",8125-11-01 00:00:00,"Çamlıtepe, Erdem Cd. No:34, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,4,39.92614083145602,32.87296497729468,6.066666666666666
4_10_24,,"39.92603092179738, 32.8730001562926",8125-12-01 00:00:00,"Çamlıtepe, Erdem Cd. No:36, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,4,39.92603092179738,32.8730001562926,6.066666666666666
4_10_25,,"39.92587760944154, 32.87315987900905",8125/13,"Çamlıtepe, Tevekküller Sk. No:45, 06590 Çankaya/Ankara",Konut + Ticaret,4.0,Değil,,,,,,4,39.92587760944154,32.87315987900905,6.066666666666666
4_10_26,,"39.925690066458365, 32.873261325619715",8125/23,"Çamlıtepe, Tevekküller Sk. No:43, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,4,39.925690066458365,32.873261325619715,6.066666666666666
4_10_27,,"39.92550699983462, 32.87304674890716",8125/22,"Çamlıtepe, Tevekküller Sk. No:41, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,4,39.92550699983462,32.87304674890716,6.066666666666666
4_10_28,Özel Prof. Dr. Necmettin Erbakan Kız Öğrenci Yurdu,"39.92519968200261, 32.87305575200676",8125-01-01 00:00:00,"Çamlıtepe, Tevekküller Sk. No:37, 06590 Çankaya/Ankara",Yurt,4.0,Değil,,,,,,4,39.92519968200261,32.87305575200676,6.066666666666666
4_10_29,,"39.92525451116482, 32.87279138144158",8125/21,"Çamlıtepe, Şht. Coşkun Sk. No:11, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,4,39.92525451116482,32.87279138144158,6.066666666666666
4_10_30,,"39.92536768194203, 32.87269419493472",8125-03-01 00:00:00,"Çamlıtepe, Şht. Coşkun Sk. No:9, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,4,39.92536768194203,32.87269419493472,6.066666666666666
4_10_31,,"39.925524008845834, 32.872731745859426",8125-04-01 00:00:00,"Çamlıtepe, Şht. Coşkun Sk. No:7, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,4,39.925524008845834,32.872731745859426,6.066666666666666
4_10_32,,"39.92570768181946, 32.87263557654441",8125-05-01 00:00:00,"Çamlıtepe, Şht. Coşkun Sk. No:5, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,4,39.92570768181946,32.87263557654441,6.066666666666666
4_10_33,,"39.92583056793102, 32.87243638144159",8125-06-01 00:00:00,"Çamlıtepe, Şht. Coşkun Sk. No:3, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,4,39.92583056793102,32.87243638144159,6.066666666666666
4_10_34,,"39.92573570193052, 32.873318664864904",8124-05-01 00:00:00,"Çamlıtepe, Tevekküller Sk. No:56, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,4,39.92573570193052,32.873318664864904,6.066666666666666
4_10_35,,"39.9255720286838, 32.87322699721781",8124-04-01 00:00:00,"Çamlıtepe, Tevekküller Sk. No:54, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,4,39.9255720286838,32.87322699721781,6.066666666666666
4_10_36,,"39.92542911869026, 32.87328578071612",8124-03-01 00:00:00,"Çamlıtepe, Tevekküller Sk. No:52, 06590 Çankaya/Ankara",Konut + Ticaret,3.0,Değil,,,,,,4,39.92542911869026,32.87328578071612,4.8
4_10_37,,"39.92538540967817, 32.87357664587546",8124-08-01 00:00:00,"Çamlıtepe, Çolak Sk. No:7, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,4,39.92538540967817,32.87357664587546,6.066666666666666
4_10_38,,"39.92557876127259, 32.87377781154347",8124-07-01 00:00:00,"Çamlıtepe, Çolak Sk. No:5, 06590 Çankaya/Ankara",Konut,2.0,Değil,,,,,Dönem yapısı?,4,39.92557876127259,32.87377781154347,3.533333333333333
4_10_39,,"39.9257265248874, 32.87370223236626",8124-06-01 00:00:00,"Çamlıtepe, Şht. Güler Sok. No:4, 06590 Çankaya/Ankara",Konut,3.0,Değil,,,,,,4,39.9257265248874,32.87370223236626,4.8
4_10_40,İhsan Vakfı Akif Emre Erkek Öğrenci Yurdu,"39.92543855485017, 32.87418502996949",8123/21,"Çamlıtepe, Çolak Sk. No:12, 06590 Çankaya/Ankara",Yurt,4.0,Değil,,,,,,4,39.92543855485017,32.87418502996949,6.066666666666666
4_10_41,,"39.92528521956824, 32.874353440122064",8123/18,"Çamlıtepe, Şht. Gülersin Sk. No:23, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,4,39.92528521956824,32.874353440122064,7.333333333333333
4_10_42,,"39.925071909828844, 32.874164828084375",8123/19,"Çamlıtepe, Şht. Gülersin Sk. No:19, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,4,39.925071909828844,32.874164828084375,6.066666666666666
4_10_43,,"39.924983461172026, 32.87407631519045",8123/15,"Çamlıtepe, Şht. Gülersin Sk. No:17, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,4,39.924983461172026,32.87407631519045,6.066666666666666
4_10_44,,"39.92487444290287, 32.873832234179936",8123/16,"Çamlıtepe, Şht. Gülersin Sk. No:15, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,4,39.92487444290287,32.873832234179936,6.066666666666666
4_10_45,,"39.92472198217483, 32.873663630516894",8123/17,"Çamlıtepe, Şht. Gülersin Sk. No:14, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,4,39.92472198217483,32.873663630516894,6.066666666666666
4_10_46,,"39.924714253044904, 32.87344955260593",8123-01-01 00:00:00,"Çamlıtepe, Tepealtı Sk. No:52, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,4,39.924714253044904,32.87344955260593,6.066666666666666
4_10_48,,"39.92506339594222, 32.87330121457518",8123-03-01 00:00:00,"Çamlıtepe, Tevekküller Sk. No:48, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,Buse yıkılmış olarak işaretlemiş. Kontrol edilecek.,4,39.92506339594222,32.87330121457518,6.066666666666666
4_10_49,,"39.92522319587502, 32.873316147708806",8123-04-01 00:00:00,"Çamlıtepe, Tevekküller Sk. No:50, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,4,39.92522319587502,32.873316147708806,6.066666666666666
4_10_50,,"39.92524582220729, 32.87333760538006",8123-05-01 00:00:00,"Çamlıtepe, Çolak Sk. No:4, 06590 Çankaya/Ankara",Konut,3.0,Değil,,,,,,4,39.92524582220729,32.87333760538006,4.8
4_10_51,,"39.925195147810214, 32.87345779851798",8123-06-01 00:00:00,"Çamlıtepe, Çolak Sk. No:6, 06590 Çankaya/Ankara",Konut,3.0,Değil,,,,,,4,39.925195147810214,32.87345779851798,4.8
4_10_52,,"39.92509186299885, 32.87366172668303",8123-02-01 00:00:00,,Konut,1.0,Değil,,,,,Eski yapı. Gecekondu?,4,39.92509186299885,32.87366172668303,2.2666666666666666
4_10_53,Safa Vakfı Yükseköğrenim Kız Öğrenci Yurdu,"39.92524829112161, 32.87367440334675",8123/20,"Çamlıtepe, Çolak Sk. No:8, 06590 Çankaya/Ankara",Yurt,4.0,Değil,,,,,,4,39.92524829112161,32.87367440334675,6.066666666666666
4_10_54,,"39.92525743749854, 32.87485532563581",8128-12-01 00:00:00,"Çamlıtepe, Şht. Gülersin Sk. No:38, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,4,39.92525743749854,32.87485532563581,7.333333333333333
4_10_55,,"39.92492165430559, 32.874486228068285",8128-02-01 00:00:00,"Çamlıtepe, Şht. Gülersin Sk. No:34, 06590 Çankaya/Ankara",Konut,3.0,Değil,,,,,,4,39.92492165430559,32.874486228068285,4.8
4_10_56,,"39.92476054308119, 32.874155173590246",8118-06-01 00:00:00,"Çamlıtepe, Şht. Gülersin Sk. No:18, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,Kentsel dönüşüm sonrası yeni yapı? ,4,39.92476054308119,32.874155173590246,7.333333333333333
4_10_57,,"39.92455578223476, 32.87402321703981",8118-11-01 00:00:00,"Çamlıtepe, Şht. Gülersin Sk. No:26, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,4,39.92455578223476,32.87402321703981,6.066666666666666
4_10_58,,"39.92416761026359, 32.87266349678411",5586/13,"Çamlıtepe, Şht. Gülersin Sk. No:4, 06590 Çankaya/Ankara",Konut,3.0,Değil,,,,,Kentsel dönüşüm sonrası yeni yapı? ,4,39.92416761026359,32.87266349678411,4.8
4_10_59,,"39.924093367273855, 32.872324374695026",5586-01-01 00:00:00,"Çamlıtepe, Şht. Gülersin Sk. No:2, 06590 Çankaya/Ankara",Konut,3.0,Değil,,,,,,4,39.924093367273855,32.872324374695026,4.8
4_10_60,,"39.923873270744444, 32.872702566163866",5586-12-01 00:00:00,"Çamlıtepe, Hoca Efendi Sk. No:17, 06590 Çankaya/Ankara",Konut,3.0,Değil,,,,,,4,39.923873270744444,32.872702566163866,4.8
4_10_61,,"39.9239288091882, 32.8729412827622",5586-11-01 00:00:00,"Çamlıtepe, Hoca Efendi Sk. No:19, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,4,39.9239288091882,32.8729412827622,6.066666666666666
4_10_62,,"39.92362475353593, 32.87309469003755",5585-01-01 00:00:00,"Çamlıtepe, Hoca Efendi Sk. No:20, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,4,39.92362475353593,32.87309469003755,7.333333333333333
4_10_63,,"39.923322375677316, 32.87338705083488",5585-08-01 00:00:00,"Çamlıtepe, Tepealtı Sk. No:25, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,4,39.923322375677316,32.87338705083488,7.333333333333333
4_10_64,,"39.92350956212489, 32.87360430975634",5585-07-01 00:00:00,"Çamlıtepe, Tepealtı Sk. No:27, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,4,39.92350956212489,32.87360430975634,7.333333333333333
4_10_65,,"39.92363915244268, 32.87367404718791",5585-09-01 00:00:00,"Çamlıtepe, Tepealtı Sk. No:29, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,4,39.92363915244268,32.87367404718791,7.333333333333333
4_10_66,,"39.92395181379777, 32.873593580935854",5585-04-01 00:00:00,"Çamlıtepe, Hoca Efendi Sk. No:30, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,4,39.92395181379777,32.873593580935854,6.066666666666666
4_10_67,,"39.92418101749038, 32.87399322623497",8118-12-01 00:00:00,"Çamlıtepe, Şht. Serdar Sk. No:1, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,Kentsel dönüşüm sonrası yeni yapı? ,4,39.92418101749038,32.87399322623497,6.066666666666666
4_10_68,,"39.924390828205205, 32.87407637471109",8118-09-01 00:00:00,"Çamlıtepe, Şht. Serdar Sk. No:5, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,4,39.924390828205205,32.87407637471109,7.333333333333333
4_10_69,,"39.92451424597247, 32.87419439190298",8118-08-01 00:00:00,"Çamlıtepe, Şht. Serdar Sk. No:7, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,4,39.92451424597247,32.87419439190298,7.333333333333333
4_10_70,,"39.924621207857456, 32.874406286406625",8118-07-01 00:00:00,"Çamlıtepe, Şht. Serdar Sk. No:9, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,4,39.924621207857456,32.874406286406625,7.333333333333333
4_10_71,,"39.92483435367734, 32.874561949251714",8128-01-01 00:00:00,"Çamlıtepe, Şht. Serdar Sk. No:11, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,4,39.92483435367734,32.874561949251714,7.333333333333333
4_10_72,,"39.924928773305005, 32.8748043607781",8128-10-01 00:00:00,"Çamlıtepe, Şht. Serdar Sk. No:15, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,4,39.924928773305005,32.8748043607781,7.333333333333333
4_10_73,,"39.92506748205028, 32.87518530782864",8128-08-01 00:00:00,"Çamlıtepe, Şht. Serdar Sk. No:19, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,4,39.92506748205028,32.87518530782864,7.333333333333333
4_10_74,Çankaya Belediyesi Çamlıtepe Atlas Gündüz Bakımevi,"39.92430167789736, 32.872147455758046",5589-08-01 00:00:00,"Çamlıtepe, Yalvaç Sk. No:1, 06590 Çankaya/Ankara",Bakımevi,2.0,Değil,,,,,Yeni yapı,4,39.92430167789736,32.872147455758046,3.533333333333333
4_10_75,,"39.92483854426299, 32.87200529868599",5589-02-01 00:00:00,"Çamlıtepe, Tevekküller Sk. No:28, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,4,39.92483854426299,32.87200529868599,7.333333333333333
4_10_76,,"39.92490181126019, 32.87226616609907",5589-03-01 00:00:00,"Çamlıtepe, Tevekküller Sk. No:30, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,Kentsel dönüşüm sonrası yeni yapı? ,4,39.92490181126019,32.87226616609907,6.066666666666666
4_10_77,,"39.92484833055779, 32.87245392072253",5589-04-01 00:00:00,"Çamlıtepe, Şht. Coşkun Sk. No:12, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,4,39.92484833055779,32.87245392072253,6.066666666666666
